Node,"No delivery due to covid","L1 and L2 places attended - 2019/20","No. of Instructors","Level 3 Places Attended (2018/19)","Levels 1 and 2 Places Attended (2018/19)","L3 places attended - 2019/20","Number of schools","Level 3 Places Attended (2020/21)","% schools that booked Bikeability","Plus Places Attended (2020/21)","Levels 1 and 2 places attended (2020/21)"
DA10,,0,0,0,0,0,4,0,0,0,0
DA11,,28,1,0,55,0,11,0,27,0,43
DA12,,226,4,0,24,36,26,4,19,89,48
DA13,,26,0,0,12,0,6,0,0,0,0
DA14,,0,1,0,0,0,9,0,0,0,0
DA15,,0,0,0,0,0,13,0,0,0,0
DA16,,0,1,0,0,0,14,0,0,0,0
DA17,,0,0,0,0,0,8,0,0,0,0
DA18,,0,0,0,0,0,4,0,0,0,0
DE1,,0,2,0,0,0,7,0,0,0,0
DE3,YES,116,3,0,108,0,6,0,17,0,0
DE4,,125,1,0,0,0,15,0,27,0,94
DE5,,157,1,0,0,0,10,0,80,36,186
DE6,,107,1,0,29,0,6,0,33,0,85
DE7,YES,308,5,0,0,0,13,0,15,0,0
DE11,,247,2,0,0,0,10,2,50,7,150
DE12,YES,37,1,0,20,0,9,0,11,0,0
DE13,,489,2,82,428,33,14,24,36,24,584
DE14,,88,0,0,133,0,9,0,11,0,49
DE15,,89,2,0,30,0,10,0,0,0,0
DE21,YES,69,0,0,42,0,7,0,29,0,0
DE22,,274,2,0,375,0,15,0,27,6,209
DE23,,127,1,0,130,0,17,0,24,0,20
DE24,YES,96,1,0,218,0,11,0,27,0,0
DE45,,71,1,0,0,0,12,0,33,0,102
DE55,,342,1,0,0,0,11,0,45,0,252
DE56,,221,2,0,0,0,9,0,56,0,183
DE65,,183,1,0,0,0,9,0,78,89,102
DE72,,139,2,0,0,0,24,0,13,0,74
DE73,,20,1,0,0,20,10,0,10,0,135
DE74,,57,0,0,50,0,2,0,0,0,0
DE75,,36,0,0,0,0,10,0,40,0,76
DH1,,0,1,0,0,0,0,0,0,0,0
DH2,,0,1,0,0,0,0,0,0,0,0
DH3,,0,1,0,0,0,0,0,0,0,0
DH4,,0,1,0,0,0,0,0,0,0,0
DH5,,0,1,0,0,0,0,0,0,0,0
DH6,,132,0,0,142,0,9,0,56,0,119
DH7,,313,3,16,275,33,18,0,50,0,260
DH8,,53,1,0,0,0,7,0,14,0,93
DH9,,116,1,0,61,0,18,0,11,0,56
DL1,,111,1,0,243,0,14,0,36,0,75
DL2,,112,1,90,153,105,14,0,21,0,76
DL3,,308,7,0,292,24,27,20,37,0,190
DL4,,265,2,0,118,0,16,36,25,60,81
DL5,YES,58,0,0,21,0,1,0,100,0,0
DL6,,37,1,0,39,0,35,0,6,0,24
DL7,,133,1,7,121,5,8,0,13,4,60
DL8,,120,1,0,75,0,9,0,44,0,9
DL9,,352,2,0,75,0,17,0,12,32,98
DL10,,74,2,0,86,0,12,0,8,0,32
DL11,,0,0,0,0,0,4,0,0,0,0
DL12,,132,1,0,29,0,23,0,22,19,16
DL13,,54,0,0,95,0,15,0,13,0,96
DL14,,73,0,0,63,0,11,0,18,0,36
DL15,,103,0,0,99,0,9,0,33,0,25
DL16,,193,6,0,58,0,19,0,37,189,359
DL17,,154,0,0,129,0,10,0,0,0,0
DN1,,0,0,0,22,0,3,0,33,0,17
DN2,,31,0,0,27,0,8,0,0,0,0
DN3,YES,90,3,10,56,7,8,0,25,0,0
DN4,,0,1,0,0,0,21,0,0,0,0
DN5,,99,0,0,95,0,5,0,40,0,92
DN6,,27,0,0,0,0,14,0,0,0,0
DN7,YES,18,7,0,33,0,11,0,18,0,0
DN8,,0,0,0,0,0,6,0,0,0,0
DN9,,178,0,0,178,0,10,0,40,0,154
DN10,,106,2,0,163,0,22,0,27,0,31
DN11,,187,1,0,148,14,9,0,33,0,98
DN12,,0,0,0,17,0,2,0,0,0,0
DN14,,140,2,38,132,15,11,0,18,0,49
DN15,,170,1,0,237,0,9,0,33,0,52
DN16,,145,0,24,188,0,5,0,20,0,59
DN17,,346,0,0,331,0,9,0,44,76,97
DN18,,147,2,0,147,0,7,0,71,11,18
DN19,,120,0,0,0,158,17,0,12,0,63
DN20,,344,3,0,141,11,20,0,30,0,127
DN21,,197,3,0,308,0,32,0,3,0,49
DN22,YES,216,1,0,181,0,19,0,5,0,0
DN31,,30,0,0,0,0,3,0,0,0,0
DN32,,216,1,0,0,53,13,0,8,0,5
DN33,,206,1,0,0,0,12,0,25,34,127
DN34,,118,2,0,0,0,5,0,20,0,24
DN35,,307,1,0,0,16,21,2,24,24,93
DN36,,95,2,0,43,0,17,0,18,0,42
DN37,,144,1,0,0,24,13,0,15,0,28
