Node,"Residential Homes Average Weekly Rate","Supported Living Average Weekly Rate","Supported Living Average Hourly Rate","Supported Living Average Hourly/Weekly Rate","Day Services Average Weekly Rate","Day Services Average Day Rate","Day Services Average Day/Weekly Rate","Domiciliary Care Average Hourly Rate","Residential Homes Uplift 2018/19","Residential Homes Uplift 2019/20","Residential Homes Uplift 2020/21","Residential Homes Uplift 2021/22","Residential Homes Uplift 2022/23","Supported Living Uplift 2018/19","Supported Living Uplift 2019/20","Supported Living Uplift 2020/21","Supported Living Uplift 2021/22","Supported Living Uplift 2022/23","Day Services Uplift 2018/19","Day Services Uplift 2019/20","Day Services Uplift 2020/21","Day Services Uplift 2021/22","Day Services Uplift 2022/23","Domiciliary Care Uplift 2018/19","Domiciliary Care Uplift 2019/20","Domiciliary Care Uplift 2020/21","Domiciliary Care Uplift 2021/22","Domiciliary Care Uplift 2022/23","London Living Wage","NI, tax, pensions, leave and sickness (LLW)","Training and management","Apportioned core costs (finance, HR, recruitment, leadership and head office costs)","National Living Wage","NI, tax, pensions, leave and sickness (NLW)","Real Living Wage 2023/24","NI, tax, pensions, leave and sickness (RLW)","NHS Band 3 inc allowances hourly rate","NI, tax, pensions, leave and sickness (Band 3 incl allowances)",English/Welsh,England/Wales,"RH Av Country","SL Weekly Av Country","SL Hourly Av Country","DS Weekly Av Country","DS Day Av Country","DC Av Country"
Hounslow,1880.97,1556.19,,1556.19,,106.35,106.35,19.74,3.8,0.8,3.2,0.5,6.2,6.3,0,1.2,13.7,1.4,16.8,9.9,4.8,0,4.6,0,11.4,1.9,1.3,7.5,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Islington,1877.08,2157.57,,2157.57,473.38,,473.38,,"Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held",11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"Kensington and Chelsea",1375.16,848.04,,848.04,215.94,,215.94,19.27,2.8,2.8,3.3,2,4.5,0,3.7,11.2,21.4,1.3,0,0,0,0,0,3,3,2.5,2,6,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"Kingston upon Thames",950,,19.79,19.79,,,,17.5,0,0,0,0,3.9,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,1.45,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Lambeth,1736,1293,,1293,248,,248,19.27,"Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held","Information not held",11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Merton,1741.12,1139.56,,1139.56,234.75,,234.75,18.93,"Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis",3.4,4.33,5.67,1.96,7.25,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Newham,1694.06,1127.92,,1127.92,389.15,,389.15,,3.5,4.4,6,1.5,5.9,0,0,6,1.5,2.8,N/a,N/a,N/a,N/a,N/a,4.34,25,3.33,0.65,2.4,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Redbridge,1832.4,1324.94,,1324.94,,65.18,65.18,18.23,2,2,1.5,4,6,2,0,0,0,6,3,0,0,"Individual basis",3,4.16,2.5,2.35,2.72,11,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"Richmond upon Thames",1551,1072,,1072,92,,92,29.14,1,1,3,1.35,4,1,1,3,1.35,4,0,0,0,0,4,2.5,2,3,1.35,4,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Southwark,1793,892,,892,214,,214,,"Individual basis","Individual basis",2,3,2.5,"Individual basis","Individual basis",2,2,1.5,"Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis",37,3,2.5,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Sutton,1194.26,,17.12,17.12,,,,,"Information not held","Information not held",2.4,"Information not held",3.76,"Information not held","Information not held","Information not held","Information not held",3.76,2,2,N/a,3,N/a,N/a,N/a,N/a,N/a,N/a,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"Tower Hamlets",1919.78,1064.03,,1064.03,222.66,,222.66,,"Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis",11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"Waltham Forest",1671,928,,928,425,,425,15.88,"Information not held","Information not held","Information not held","Individual basis",6,"Information not held","Information not held","Individual basis",8.5,2.7,"Information not held","Information not held","Information not held","Information not held",3,"Information not held","Information not held","Information not held","Information not held","Information not held",11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Wandsworth,1743,1171,,1171,277,,277,15.78,1,1,3,1.35,4,1,1,3,1.35,5.5,0,2,0,0,4,0,0,3,0,4,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Westminster,1347.57,863.39,,863.39,185.66,,185.66,18.66,2,2.9,1.8,2,4.5,0,3.7,2.9,16.5,2.4,0,0,0,0,0,3,3,2.5,2,Undecided,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
