Row Labels,Number of schools,% schools booked that booked Bikeability,Sum of Levels 1 and 2 places attended (2020),Sum of Level 3 Places Attended (2020),Sum of Plus Places Attended (2020),No Delivery due to Covid
BS26,2,0,0,0,0,
CH47,2,0,0,0,0,
DA9,2,0,0,0,0,
DN38,2,0,0,0,0,
DT5,2,0,0,0,0,
E20,2,0,0,0,0,
EC1M,2,0,0,0,0,
EC2A,2,0,0,0,0,
EX18,2,0,0,0,0,
GU20,2,0,0,0,0,
GU23,2,0,0,0,0,
HR5,2,0,0,0,0,
HU1,2,0,0,0,0,
LA16,2,0,0,0,0,
LA19,2,0,0,0,0,
LA21,2,0,0,0,0,
LS5,2,0,0,0,0,
M50,2,0,0,0,0,
NE45,2,0,0,0,0,
NR23,2,0,0,0,0,
OX39,2,0,0,0,0,
PO37,2,0,0,0,0,
RG28,2,0,0,0,0,
S14,2,0,0,0,0,
SG10,2,0,0,0,0,
SO52,2,0,0,0,0,
TA23,2,0,0,0,0,
TF8,2,0,0,0,0,
TR5,2,0,0,0,0,
WC2B,2,0,0,0,0,
WV9,2,0,0,0,0,
 M3,1,0,0,0,0,
 NW3,1,0,0,0,0,
 RG8,1,0,0,0,0,
 SW17,1,0,0,0,0,
B4,1,0,0,0,0,
BD1,1,0,0,0,0,
BH13,1,0,0,0,0,
BH4,1,0,0,0,0,
BS29,1,0,0,0,0,
CA23,1,0,0,0,0,
CA24,1,0,0,0,0,
EC1N,1,0,0,0,0,
EC1Y,1,0,0,0,0,
EC2Y,1,0,0,0,0,
EC3A,1,0,0,0,0,
EC3N,1,0,0,0,0,
EC4M,1,0,0,0,0,
EC4V,1,0,0,0,0,
HU20,1,0,0,0,0,
IP15,1,0,0,0,0,
LS3,1,0,0,0,0,
M2,1,0,0,0,0,
ME11,1,0,0,0,0,
MK15,1,0,0,0,0,
MK9,1,0,0,0,0,
NE1,1,0,0,0,0,
NE17,1,0,0,0,0,
NE19,1,0,0,0,0,
NE41,1,0,0,0,0,
NE44,1,0,0,0,0,
NE67,1,0,0,0,0,
NE68,1,0,0,0,0,
NE70,1,0,0,0,0,
NR22,1,0,0,0,0,
PL16,1,0,0,0,0,
PL33,1,0,0,0,0,
PO34,1,0,0,0,0,
PO35,1,0,0,0,0,
PO39,1,0,0,0,0,
PO40,1,0,0,0,0,
PO41,1,0,0,0,0,
