Row Labels,Number of instructors,Sum of Number of schools,No delivery due to covid,Sum of Levels 1 and 2 places attended (2020/21),Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2020/21),Sum of Plus Places Attended (2020/21),Sum of % schools that booked Bikeability2,Sum of % schools that booked Bikeability,Sum of Level 3 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19)
CB22,2,12,,287,327,0,0,75,75,0,0,290
CB23,1,16,,627,548,22,0,94,94,18,26,648
CB24,7,18,,302,582,0,0,44,44,0,0,514
CB25,3,6,,75,131,0,0,67,67,0,0,155
CB3,0,6,,23,95,0,0,83,83,0,0,88
CB4,6,17,,64,507,0,0,41,41,61,48,249
CB5,1,4,,18,31,0,0,50,50,0,0,31
CB6,3,19,,188,322,0,0,42,42,0,0,428
CB7,2,9,Yes,0,331,0,0,56,56,0,0,289
CB8,0,15,,117,188,0,0,40,40,0,0,98
CB9,0,15,,12,9,0,0,13,13,0,0,24
CH1,0,13,,38,65,0,0,23,23,20,21,62
CH2,5,17,,162,91,84,0,41,41,68,87,179
CH3,1,20,,132,184,0,0,20,20,36,78,228
CH4,3,11,Yes,0,82,0,0,9,9,0,0,65
CH41,0,13,,10,30,0,0,15,15,0,0,0
CH42,0,8,,12,15,0,0,13,13,0,0,0
CH43,0,17,,75,236,0,0,12,12,9,0,0
CH44,0,9,,34,47,0,0,22,22,31,0,0
CH45,0,10,,0,244,0,0,0,0,19,0,0
CH46,2,11,,5,56,0,0,9,9,24,0,0
CH47,0,2,,0,27,0,0,0,0,0,0,0
CH48,3,9,,0,88,0,0,0,0,0,0,0
CH49,2,17,,0,73,44,0,6,6,44,0,0
CH60,1,4,,0,79,0,0,0,0,24,0,0
CH61,0,7,,26,97,0,0,29,29,0,0,0
CH62,2,9,,183,221,0,0,56,56,0,0,0
CH63,2,15,,66,213,0,0,7,7,0,0,0
CH64,0,7,,15,139,0,0,14,14,0,0,59
CH65,0,14,,0,53,0,0,0,0,0,0,119
CH66,0,13,,28,78,0,0,31,31,0,0,83
CH7,3,,,,,,,,,,,
CM0,1,6,Yes,0,94,0,0,33,33,0,0,58
CM1,4,28,,65,424,36,0,32,32,0,11,248
CM11,2,7,,72,74,0,0,29,29,0,0,73
CM12,2,9,,84,382,0,0,56,56,38,42,213
CM13,1,11,,53,219,22,0,55,55,23,24,140
CM14,1,5,,31,12,0,0,20,20,0,0,12
CM15,2,17,,33,214,0,0,29,29,6,21,228
CM16,1,9,,105,111,18,0,67,67,6,0,14
CM17,1,10,,55,99,0,0,40,40,0,0,47
CM18,0,15,,17,64,0,0,27,27,0,0,95
CM19,1,7,,13,68,0,0,71,71,0,0,60
CM2,7,27,,190,308,20,0,37,37,24,0,292
CM20,0,10,,21,52,0,0,60,60,0,0,47
CM21,0,5,Yes,0,95,0,0,20,20,0,0,22
