Row Labels,Count of No delivery due to covid,Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19),Sum of L3 places attended - 2019/20,Sum of Number of schools,Sum of Level 3 Places Attended (2020/21),Sum of % schools that booked Bikeability,Sum of Plus Places Attended (2020/21),Sum of Levels 1 and 2 places attended (2020/21)
BA9,,24,0,12,0,3,0,0,0,0
BB1,,592,187,460,117,35,0,17,30,117
BB10,,353,22,536,64,20,71,50,192,327
BB11,,190,8,356,52,15,25,53,87,358
BB12,,189,0,530,35,26,99,58,216,787
BB2,,874,462,750,156,38,33,21,32,422
BB3,,417,0,526,0,20,0,20,0,135
BB4,,804,18,929,40,27,0,37,0,60
BB5,,212,0,109,74,37,30,46,90,219
BB6,,137,0,0,11,7,7,43,0,79
BB7,,202,0,0,0,25,0,40,179,43
BB8,,282,0,430,41,15,0,13,0,32
BD1,,0,0,0,0,1,0,0,0,0
BD11,,125,0,45,0,2,0,50,0,22
BD12,,81,0,48,0,6,0,33,0,46
BD14,,22,0,24,0,4,0,25,6,46
BD15,,116,0,90,0,6,0,50,0,44
BD16,,271,0,155,21,13,10,31,5,92
BD17,,109,0,153,0,5,0,40,0,134
BD19,,134,0,0,0,9,0,56,28,66
BD20,,67,0,97,0,16,0,13,0,27
BD21,,230,0,114,0,10,0,30,63,129
BD22,,94,0,110,0,14,0,21,0,80
BD23,,229,0,206,0,27,0,26,0,94
BD24,,16,0,26,0,4,0,25,0,15
BD4,,53,0,15,0,17,0,12,40,111
BD5,,26,0,58,0,24,0,0,0,0
BD6,,30,0,0,0,10,0,10,0,25
BD7,,0,0,100,0,10,0,0,0,0
BD8,,31,0,192,0,20,0,5,24,127
BD9,,190,0,199,0,17,0,24,0,114
BH1,,0,0,0,0,3,0,0,0,0
BH12,,56,0,42,0,11,0,45,0,12
BH13,,0,0,0,0,1,0,0,0,0
BH14,,69,0,47,0,5,0,40,0,48
BH15,,127,27,111,29,10,0,50,0,10
BH16,,15,0,0,0,6,0,50,0,26
BH17,,54,0,84,0,10,0,30,0,23
BH19,,32,33,45,6,6,9,17,0,7
BH2,,23,0,12,0,3,0,0,0,0
BH20,,48,0,36,0,11,0,27,0,99
BH21,,110,15,68,15,26,9,15,0,5
BH22,,72,24,58,15,7,0,29,0,25
BH23,,440,53,228,116,19,103,47,0,108
BH24,,295,3,186,0,10,0,10,0,18
