Node,"Conservative Prediction",Lab_pred,Lib_pred,SNP_pred,Plaid_pred,Green_pred,RefUK_pred,Other_pred,Winner_pred,Con_2019,Lab_2019,Lib_2019,SNP_2019,Plaid_2019,Green_2019,Brexit_2019,Other_2019,Winner_2019
"Wythenshawe and Sale East",18.8,53.7,8.6,0,0,7.3,7.8,3.9,Lab,30.1,53.3,7,0,0,3.5,6.1,0.1,Lab
"Glasgow North East",9.3,36.3,4.1,44,0,2.1,2.8,2,SNP,10.5,39.4,3.2,46.9,0,0,0,0,SNP
"North Norfolk",36.2,19.9,26,0,0,5.8,8,4.3,Con,58.6,7.7,30.3,0,0,0,3.4,0,Con
"Norwich South",20.1,51,12.2,0,0,9.2,5.7,2.1,Lab,29,53.7,9.2,0,0,4.8,3.2,0,Lab
"Wyre and Preston North",33.6,37.4,12,0,0,5.8,8.4,3,Lab,59.7,28,8.4,0,0,3.3,0,0.6,Con
Wimbledon,25.6,29.8,28.4,0,0,7.4,6.1,2.9,Lab,38.4,23.7,37.2,0,0,0,0,0.7,Con
"Hampstead and Kilburn",18.8,44.2,18.4,0,0,9.1,7,2.7,Lab,24.2,48.9,22.9,0,0,2.8,1.2,0,Lab
"Brigg and Goole",42,32.2,12.1,0,0,5.9,5.1,2.9,Con,71.3,20.7,5,0,0,3,0,0,Con
"North Somerset",33.3,31.2,21.7,0,0,7.2,4.8,1.9,Con,52.9,24.6,17.8,0,0,4.7,0,0,Con
"South East Cornwall",35.8,27.9,23.1,0,0,5.6,5.1,2.7,Con,59.3,20.2,16.1,0,0,2.8,0,1.6,Con
"Oldham West and Royton",18.1,55,7.3,0,0,6.4,8.6,4.8,Lab,30.3,55.3,3.3,0,0,1.5,7.5,2.1,Lab
"Edinburgh South West",18.5,18.9,10.3,44,0,3.6,2.4,2.7,SNP,24.6,14.3,9.5,47.6,0,2.4,1.2,0.2,SNP
Montgomeryshire,33.5,32.5,14.8,0,5,6.3,7.3,1.3,Con,58.5,16.3,23,0,0,0,0,2.1,Con
Christchurch,40.4,24.1,21.9,0,0,6,5.6,2.1,Con,65.2,12.6,17.9,0,0,4.3,0,0,Con
Barking,19.8,49.5,8.6,0,0,9,10.4,2.8,Lab,26.5,61.2,3.3,0,0,1.8,7.2,0,Lab
"North Shropshire",39.2,26.9,15.1,0,0,7.1,5.9,5.9,Con,62.7,22.1,10,0,0,3.2,0,2,Con
"Leeds North East",15.9,51.9,14.7,0,0,8.3,6.4,3,Lab,23.6,57.5,11.2,0,0,3.8,3.5,0.3,Lab
"Ribble Valley",34.1,36.8,11.6,0,0,5.7,9,3.1,Lab,60.3,27,8.6,0,0,3.1,0,1,Con
"Swansea East",17.4,54.4,7.3,0,6,6,8.6,0.8,Lab,28.1,51.8,4.2,0,5.7,1.7,8.5,0,Lab
Cambridge,12,47.7,26,0,0,8.7,4.2,1.6,Lab,15.5,48,30,0,0,4,1.9,0.5,Lab
Sedgefield,29.9,46,9.2,0,0,3.5,8,3.5,Lab,47.2,36.3,4.7,0,0,2.4,8.5,0.9,Con
"Birmingham, Selly Oak",20.5,49.3,11.6,0,0,9.1,6.2,3.5,Lab,30.9,56,6.4,0,0,3.7,2.9,0,Lab
Blaydon,22.1,51.3,11,0,0,3.5,8.7,3.7,Lab,31.2,43.3,8.1,0,0,2.8,12.8,1.8,Lab
Burton,37,33.9,11.5,0,0,6.9,6.2,4.7,Con,60.7,30.9,5.5,0,0,2.9,0,0,Con
Twickenham,24.9,20.3,37.2,0,0,7.3,8,2.6,Lib,34.2,8.5,56.1,0,0,0,1.3,0,Lib
"Runnymede and Weybridge",34.7,28.8,18.5,0,0,7.2,6.8,4.2,Con,54.9,20.6,17.3,0,0,3.5,0,3.6,Con
"Wentworth and Dearne",25.4,42.9,9.5,0,0,5.5,12.3,4.5,Lab,35.1,40.3,4.1,0,0,0,16.9,3.6,Lab
Pendle,29.4,45.1,8.6,0,0,5.8,7.8,3.5,Lab,54.2,40.2,3.5,0,0,1.5,0,0.6,Con
Caerphilly,15.7,49.9,6.4,0,11,5.4,11.5,0.7,Lab,27.9,44.9,0,0,16,0,11.2,0,Lab
"Cannock Chase",40.5,29.4,9.6,0,0,8.1,7.5,5,Con,68.3,25.4,0,0,0,6.3,0,0,Con
Middlesbrough,17.6,52.3,9.8,0,0,5.1,6.3,9.1,Lab,25.8,50.5,2.4,0,0,1.6,6.4,13.3,Lab
"West Dunbartonshire",12.6,30.3,5,45,0,4.1,1.8,2.2,SNP,14.3,28.5,4.2,49.6,0,1.9,0,1.6,SNP
"Bradford West",11.4,63,8.2,0,0,8,6.2,3.3,Lab,15.2,76.2,3,0,0,1.8,3.5,0.2,Lab
"North East Somerset",31.3,32.2,23.1,0,0,6.4,4.9,2.3,Lab,50.4,24.2,22.1,0,0,2.5,0,0.8,Con
Livingston,17.7,23.6,7.7,44,0,3.1,2.4,2,SNP,22.3,21.8,6.3,46.9,0,2.6,0,0,SNP
Dover,35.9,36.7,10.1,0,0,6,6.9,4.5,Lab,56.9,32.6,5.7,0,0,2.7,0,2.1,Con
"Croydon Central",25.1,43.9,10,0,0,8.2,9.9,3.1,Lab,39.2,50.2,6.5,0,0,2.2,1.8,0,Lab
Neath,18.1,49.7,7.6,0,9,6.1,8.9,1.2,Lab,28,43.3,4,0,12.2,2,8.7,1.8,Lab
"Haltemprice and Howden",37.5,31.9,15.9,0,0,6.5,5.3,3.1,Con,62.4,21.5,10.5,0,0,3.5,0,2.1,Con
"Leicester South",15,56.6,10.6,0,0,11.1,5.6,1.2,Lab,21.8,67,5.5,0,0,3.3,2.4,0,Lab
Dewsbury,28.5,44.6,10.8,0,0,6.7,6.5,3.2,Lab,46.4,43.7,4.3,0,0,1.9,3.3,0.4,Con
